,A19086,D19086
2001-03-01,143.37,35.0
2001-03-02,202.55,40.0
2001-03-03,195.55,33.0
2001-03-04,412.28,33.0
2001-03-05,195.55,33.0
2001-03-06,249.73,33.0
2001-03-07,195.55,33.0
2001-03-08,143.76,33.0
2001-03-09,176.44,29.0
2001-03-10,250.41,44.0
2001-03-11,357.36,33.0
2001-03-12,445.82,33.0
2001-03-13,384.85,31.0
2001-03-14,298.39,33.0
2001-03-15,504.8,33.0
2001-03-16,443.82,31.0
2001-03-17,297.39,32.0
2001-03-18,239.52,33.0
2001-03-19,185.55,38.0
2001-03-20,188.55,41.0
2001-03-21,155.04,37.0
2001-03-22,149.04,31.0
2001-03-23,212.06,35.0
2001-03-24,299.58,34.0
2001-03-25,63.51,34.0
2001-03-26,92.02,33.0
2001-03-27,240.56,34.0
2001-03-28,211.06,34.0
2001-03-29,238.06,61.0
2001-03-30,237.06,60.0
2001-03-31,150.04,32.0
2001-04-01,119.53,31.0
2001-04-02,297.58,32.0
2001-04-03,236.56,30.0
2001-04-04,150.04,32.0
2001-04-05,120.53,32.0
2001-04-06,150.04,32.0
2001-04-07,131.49,31.0
2001-04-08,142.5,42.0
2001-04-09,101.99,35.0
2001-04-10,114.99,48.0
2001-04-11,86.5,53.0
2001-04-12,90.5,57.0
2001-04-13,90.5,57.0
2001-04-14,90.5,57.0
2001-04-15,90.5,57.0
2001-04-16,124.0,57.0
2001-04-17,22.5,56.0
2001-04-18,90.5,57.0
2001-04-19,90.5,57.0
2001-04-20,56.0,56.0
2001-04-21,89.5,56.0
2001-04-22,156.49,56.0
2001-04-23,189.99,56.0
2001-04-24,89.5,56.0
2001-04-25,256.97,56.0
2001-04-26,89.5,56.0
2001-04-27,125.0,58.0
2001-04-28,90.5,57.0
2001-04-29,68.0,68.0
2001-04-30,58.0,58.0
2001-05-01,57.0,57.0
2001-05-02,92.5,59.0
2001-05-03,61.0,61.0
2001-05-04,63.0,63.0
2001-05-05,65.0,65.0
2001-05-06,65.0,65.0
2001-05-07,62.0,62.0
2001-05-08,63.0,63.0
2001-05-09,65.0,65.0
2001-05-10,72.0,72.0
2001-05-11,68.0,68.0
2001-05-12,98.5,65.0
2001-05-13,31.5,65.0
2001-05-14,66.0,66.0
2001-05-15,65.0,65.0
2001-05-16,65.0,65.0
2001-05-17,67.0,67.0
2001-05-18,65.0,65.0
2001-05-19,68.0,68.0
2001-05-20,79.0,79.0
2001-05-21,67.0,67.0
2001-05-22,66.0,66.0
2001-05-23,41.5,75.0
2001-05-24,268.48,101.0
2001-05-25,80.0,80.0
2001-05-26,77.0,77.0
2001-05-27,175.49,75.0
2001-05-28,32.5,66.0
2001-05-29,98.5,65.0
2001-05-30,132.0,65.0
2001-05-31,32.5,66.0
2001-06-01,99.5,66.0
2001-06-02,66.0,66.0
2001-06-03,68.0,68.0
2001-06-04,34.5,68.0
2001-06-05,69.0,69.0
2001-06-06,38.49,72.0
2001-06-07,103.51,70.0
2001-06-08,36.49,70.0
2001-06-09,70.0,70.0
2001-06-10,36.5,70.0
2001-06-11,70.0,70.0
2001-06-12,70.0,70.0
2001-06-13,36.5,70.0
2001-06-14,70.0,70.0
2001-06-15,36.5,70.0
2001-06-16,70.0,70.0
2001-06-17,35.5,69.0
2001-06-18,6.01,73.0
2001-06-19,42.5,76.0
2001-06-20,42.5,76.0
2001-06-21,77.0,77.0
2001-06-22,9.01,76.0
2001-06-23,77.0,77.0
2001-06-24,41.49,75.0
2001-06-25,40.5,74.0
2001-06-26,74.0,74.0
2001-06-27,14.01,81.0
2001-06-28,40.5,74.0
2001-06-29,75.0,75.0
2001-06-30,72.0,72.0
2001-07-01,40.5,74.0
2001-07-02,75.0,75.0
2001-07-03,73.0,73.0
2001-07-04,39.5,73.0
2001-07-05,39.5,73.0
2001-07-06,73.0,73.0
2001-07-07,39.5,73.0
2001-07-08,73.0,73.0
2001-07-09,74.0,74.0
2001-07-10,41.5,75.0
2001-07-11,42.49,76.0
2001-07-12,45.5,79.0
2001-07-13,77.0,77.0
