,49330000,49340080,49370000,49660000,49705000,49740000,49775000
1959-01-01,,,2561.19,,2079.99,,
1959-01-02,,,3312.76,,2202.17,,
1959-01-03,,,3323.81,,2277.42,,
1959-01-04,,,3235.9,,2294.34,,
1959-01-05,,,3279.72,,2268.99,,
1959-01-06,,,2989.07,,2227.09,,
1959-01-07,,,2812.31,,2169.2,,
1959-01-08,,,2791.83,,2144.65,,
1959-01-09,,,2863.79,,2120.27,,
1959-01-10,,,2915.7,,2096.05,,
1959-01-11,,,3020.77,,2169.2,,
1959-01-12,,,3073.93,,2243.8,,
1959-01-13,,,3593.88,,2328.4,,
1959-01-14,,,3837.93,,2432.32,,
1959-01-15,,,4089.17,,2547.86,,
1959-01-16,,,4137.83,,2666.51,,
1959-01-17,,,4186.76,,2722.32,,
1959-01-18,,,4335.07,,2759.9,,
1959-01-19,,,4473.07,,2788.28,,
1959-01-20,,,4162.26,,2864.78,,
1959-01-21,,,4272.99,,2874.43,,
1959-01-22,,,4272.99,,2893.78,,
1959-01-23,,,4260.63,,2913.21,,
1959-01-24,,,4335.07,,2922.95,,
1959-01-25,,,4372.52,,2922.95,,
1959-01-26,,,4248.27,,2913.21,,
1959-01-27,,,4223.62,,2874.43,,
1959-01-28,,,4235.94,,2855.16,,
1959-01-29,,,4223.62,,2845.55,,
1959-01-30,,,4174.5,,2845.55,,
1959-01-31,,,4125.64,,2826.38,,
1959-02-01,,,4040.76,,2816.83,,
1959-02-02,,,3980.62,,2807.3,,
1959-02-03,,,3980.62,,2769.34,,
1959-02-04,,,3944.73,,2722.32,,
1959-02-05,,,3873.38,,2694.33,,
1959-02-06,,,4016.66,,2778.8,,
1959-02-07,,,4052.84,,2932.71,,
1959-02-08,,,4360.02,,3101.5,,
1959-02-09,,,4587.41,,3172.59,,
1959-02-10,,,4728.93,,3254.98,,
1959-02-11,,,4964.66,,3296.63,,
1959-02-12,,,5017.74,,3349.12,,
1959-02-13,,,5124.67,,3380.85,,
1959-02-14,,,5165.03,,3380.85,,
1959-02-15,,,5205.53,,3349.12,,
1959-02-16,,,5259.75,,3275.76,,
1959-02-17,,,4846.15,,3131.85,,
1959-02-18,,,4767.86,,2981.79,,
1959-02-19,,,4272.99,,2835.96,,
1959-02-20,,,4199.03,,2722.32,,
1959-02-21,,,3802.63,,2620.5,,
1959-02-22,,,3732.45,,2476.39,,
1959-02-23,,,3548.21,,2354.13,,
1959-02-24,,,3235.9,,2260.57,,
1959-02-25,,,3095.31,,2185.65,,
1959-02-26,,,3084.61,,2136.51,,
1959-02-27,,,3073.93,,2161.0,,
1959-02-28,,,2947.04,,2096.05,,
1959-03-01,,,2936.58,,2079.99,,
1959-03-02,,,3192.34,,2136.51,,
