,Observado,Natural
1931-01-01 00:00:00,,5512.0
1931-01-02 00:00:00,,5512.0
1931-01-03 00:00:00,,5515.0
1931-01-04 00:00:00,,5525.0
1931-01-05 00:00:00,,5547.0
1931-01-06 00:00:00,,5582.0
1931-01-07 00:00:00,,5625.0
1931-01-08 00:00:00,,5672.0
1931-01-09 00:00:00,,5713.0
1931-01-10 00:00:00,,5741.0
1931-01-11 00:00:00,,5753.0
1931-01-12 00:00:00,,5749.0
1931-01-13 00:00:00,,5727.0
1931-01-14 00:00:00,,5682.0
1931-01-15 00:00:00,,5612.0
1931-01-16 00:00:00,,5512.0
1931-01-17 00:00:00,,5380.0
1931-01-18 00:00:00,,5217.0
1931-01-19 00:00:00,,5021.0
1931-01-20 00:00:00,,4794.0
1931-01-21 00:00:00,,4549.0
1931-01-22 00:00:00,,4310.0
1931-01-23 00:00:00,,4101.0
1931-01-24 00:00:00,,3937.0
1931-01-25 00:00:00,,3824.0
1931-01-26 00:00:00,,3755.0
1931-01-27 00:00:00,,3708.0
1931-01-28 00:00:00,,3665.0
1931-01-29 00:00:00,,3613.0
1931-01-30 00:00:00,,3552.0
1931-01-31 00:00:00,,3489.0
1931-02-01 00:00:00,,3437.0
1931-02-02 00:00:00,,3408.0
1931-02-03 00:00:00,,3418.0
1931-02-04 00:00:00,,3474.0
1931-02-05 00:00:00,,3577.0
1931-02-06 00:00:00,,3710.0
1931-02-07 00:00:00,,3848.0
1931-02-08 00:00:00,,3957.0
1931-02-09 00:00:00,,4015.0
1931-02-10 00:00:00,,4020.0
1931-02-11 00:00:00,,3986.0
1931-02-12 00:00:00,,3939.0
1931-02-13 00:00:00,,3912.0
1931-02-14 00:00:00,,3943.0
1931-02-15 00:00:00,,4061.0
1931-02-16 00:00:00,,4264.0
1931-02-17 00:00:00,,4511.0
1931-02-18 00:00:00,,4755.0
1931-02-19 00:00:00,,4969.0
1931-02-20 00:00:00,,5146.0
1931-02-21 00:00:00,,5289.0
1931-02-22 00:00:00,,5405.0
1931-02-23 00:00:00,,5503.0
1931-02-24 00:00:00,,5586.0
1931-02-25 00:00:00,,5660.0
1931-02-26 00:00:00,,5728.0
1931-02-27 00:00:00,,5794.0
1931-02-28 00:00:00,,5857.0
1931-03-01 00:00:00,,5914.0
1931-03-02 00:00:00,,5964.0
1931-03-03 00:00:00,,6010.0
1931-03-04 00:00:00,,6055.0
1931-03-05 00:00:00,,6097.0
1931-03-06 00:00:00,,6136.0
