Date,76077000_FLU,76081000_FLU,76085000_FLU,76100000_FLU,76120000_FLU,76251000_FLU,76260000_FLU,76300000_FLU,76310000_FLU,76360001_FLU,76370000_FLU,76380000_FLU,76395000_FLU,76431000_FLU,76440000_FLU,76460000_FLU,76490000_FLU,76500000_FLU,76550000_FLU,76560000_FLU,76600000_FLU,76630000_FLU,76650000_FLU,76700000_FLU,76742000_FLU,76745000_FLU,76750000_FLU,76800000_FLU
1977-01-01,3.09,3.3,3.416,7.103,8.36,,2.63,18.163,20.127,2.596,,0.114,,,6.45,3.8,12.3,107.625,7.05,109.82,142.0,,29.527,,,,19.262,212.482
1977-01-02,2.72,2.9,2.776,6.426,9.58,,3.365,17.72,18.313,2.596,,0.114,,,5.7,3.8,11.3,106.247,6.58,101.56,130.0,,27.367,,,,27.312,199.275
1977-01-03,38.6,38.8,29.548,48.285,15.2,,3.365,25.331,30.362,5.929,,14.7,,,108.8,135.6,40.3,116.094,58.4,191.8,262.0,,133.271,,,,235.524,330.356
1977-01-04,78.0,78.0,84.255,120.097,113.0,,2.63,52.19,61.423,8.696,,19.4,,,274.0,51.0,283.0,167.177,40.1,324.8,402.0,,272.369,,,,279.279,940.523
1977-01-05,22.9,22.5,25.321,77.658,113.0,,2.05,73.382,94.514,11.1,,26.9,,,207.9,20.3,308.0,345.042,21.4,472.6,458.0,,285.54,,,,267.493,1062.452
1977-01-06,12.7,12.6,14.204,32.292,68.4,,2.05,87.952,131.393,10.946,,10.6,,,56.5,13.5,159.0,413.153,12.5,531.1,540.0,,239.793,,,,241.495,1067.126
1977-01-07,9.64,9.72,9.806,21.727,34.0,,2.05,107.168,171.223,9.56,,12.7,,,33.5,10.1,83.4,355.496,9.48,499.6,553.0,,132.704,,,,219.397,1016.336
1977-01-08,6.98,7.34,7.85,16.547,21.2,,1.47,123.042,204.014,5.683,,1.62,,,24.9,7.895,51.8,307.333,9.33,407.5,466.0,,53.54,,,,164.484,822.684
1977-01-09,5.77,6.13,6.438,14.032,16.8,,1.47,125.933,208.255,4.351,,0.71,,,20.84,6.98,39.0,297.674,9.04,354.3,389.0,,43.438,,,,97.584,619.717
1977-01-10,5.77,6.13,5.925,12.55,12.9,,3.365,109.906,185.317,4.351,,35.5,,,18.1,6.675,33.8,304.903,9.48,354.3,365.0,,39.418,,,,65.341,501.803
1977-01-11,8.5,8.7,5.679,12.796,12.3,,3.365,95.63,159.463,18.6,,40.0,,,29.0,13.5,68.5,314.687,13.1,368.1,373.0,,57.485,,,,62.614,462.574
1977-01-12,26.4,26.0,10.161,16.293,17.5,,4.1,104.459,214.674,31.52,,137.0,,,31.5,51.0,248.0,430.488,26.5,496.9,286.0,,93.842,,,,85.116,489.545
1977-01-13,44.5,44.7,47.062,41.328,28.2,,4.1,92.186,193.548,56.2,,143.0,,,34.5,30.75,208.0,607.477,22.1,684.4,527.0,,177.122,,,,146.079,595.712
1977-01-14,25.2,24.8,35.056,69.302,63.6,,5.0,80.535,167.27,68.28,,137.0,,,34.0,24.15,172.0,745.188,16.9,826.6,748.0,,265.96,,,,183.7,872.121
1977-01-15,15.9,15.8,20.932,60.475,78.8,,6.96,74.163,155.609,54.22,,42.0,,,69.1,29.65,150.0,834.302,12.8,919.0,963.0,,238.956,,,,189.141,1294.445
1977-01-16,10.9,10.8,15.602,36.491,76.5,,6.96,76.528,161.402,36.3,,35.5,,,56.5,35.3,143.0,813.572,11.2,891.5,1085.0,,160.101,,,,191.197,1705.562
1977-01-17,20.0,19.7,26.681,58.368,76.9,,237.0,88.793,181.25,31.26,,34.3,,,125.3,45.0,137.0,729.568,10.7,804.4,990.0,,83.776,,,,231.083,1557.722
1977-01-18,87.5,87.0,98.688,169.98,116.0,,237.0,100.89,206.13,35.46,,34.3,,,274.0,132.0,161.0,635.969,9.92,704.6,827.0,,76.452,,,,369.979,1336.461
1977-01-19,49.2,49.5,64.065,168.97,175.0,,51.8,111.746,214.674,43.8,,30.0,,,199.1,54.5,328.0,635.969,9.18,704.6,724.0,,91.802,,,,506.86,1207.613
1977-01-20,27.0,26.7,35.056,101.761,157.0,,51.8,116.399,229.921,47.46,,26.9,,,129.7,30.75,260.0,764.965,8.74,845.4,751.0,,77.901,,91.4,,499.577,1258.287
1977-01-21,20.0,19.7,22.744,62.894,112.0,,41.1,125.933,261.516,36.58,,21.9,,,65.6,30.75,177.0,855.314,8.17,947.0,847.0,,64.239,,95.0,,375.864,1390.025
1977-01-22,59.1,59.6,74.062,101.4,103.0,,41.1,142.824,304.222,24.9,,18.5,,,128.6,196.0,157.0,821.83,8.03,927.0,908.0,,87.762,,114.0,,262.832,1433.715
1977-01-23,49.2,49.5,80.796,176.64,138.0,,38.65,153.154,346.625,16.02,,14.7,,,118.7,118.5,210.0,749.121,7.75,860.6,884.0,,75.011,,,,155.496,1325.888
1977-01-24,30.8,30.6,75.723,120.5,166.0,,31.6,142.824,338.999,10.792,,19.4,,,67.7,25.25,155.0,737.356,7.61,853.0,844.0,,74.533,,,,89.716,1143.45
