,76077000_FLU,76081000_FLU,76085000_FLU,76100000_FLU,76120000_FLU,76251000_FLU,76260000_FLU,76300000_FLU,76310000_FLU,76360001_FLU,76370000_FLU,76380000_FLU,76395000_FLU,76431000_FLU,76440000_FLU,76460000_FLU,76490000_FLU,76500000_FLU,76550000_FLU,76560000_FLU,76600000_FLU,76630000_FLU,76650000_FLU,76700000_FLU,76742000_FLU,76745000_FLU,76750000_FLU,76800000_FLU
1941-11-09,,,,,,,,,,,,,,,38.093,,,,,,,,,,,,,
1941-11-10,,,,,,,,,,,,,,,33.109,,,,,,,,,,,,,
1941-11-11,,,,,,,,,,,,,,,185.65,,,,,,,,,,,,,
1941-11-12,,,,,,,,,,,,,,,607.961,,,,,,,,,,,,,
1941-11-13,,,,,,,,,,,,,,,298.994,,,,,,,,,,,,,
1941-11-14,,,,,,,,,,,,,,,124.384,,,,,,,,,,,,,
1941-11-15,,,,,,,,,,,,,,,85.231,,,,,,,,,,,,,
1941-11-16,,,,,,,,,,,,,,,675.357,,,,,,,,,,,,,
1941-11-17,,,,,,,,,,,,,,,781.723,,,,,,,,,,,,,
1941-11-18,,,,,,,,,,,,,,,314.773,,,,,,,,,,,,,
1941-11-19,,,,,,,,,,,,,,,233.082,,,,,,,,,,,,,
1941-11-20,,,,,,,,,,,,,,,164.273,,,,,,,,,,,,,
1941-11-21,,,,,,,,,,,,,,,119.883,,,,,,,,,,,,,
1941-11-22,,,,,,,,,,,,,,,81.484,,,,,,,,,,,,,
1941-11-23,,,,,,,,,,,,,,,63.961,,,,,,,,,,,,,
1941-11-24,,,,,,,,,,,,,,,53.21,,,,,,,,,,,,,
1941-11-25,,,,,,,,,,,,,,,43.96,,,,,,,,,,,,,
1941-11-26,,,,,,,,,,,,,,,35.559,,,,,,,,,,,,,
1941-11-27,,,,,,,,,,,,,,,29.364,,,,,,,,,,,,,
1941-11-28,,,,,,,,,,,,,,,26.264,,,,,,,,,,,,,
1941-11-29,,,,,,,,,,,,,,,24.986,,,,,,,,,,,,,
1941-11-30,,,,,,,,,,,,,,,235.32,,,,,,,,,,,,,
1941-12-01,,,,,,,,,,,,,,,180.188,,,,,,,,,,,,,
1941-12-02,,,,,,,,,,,,,,,102.678,,,,,,,,,,,,,
1941-12-03,,,,,,,,,,,,,,,64.623,,,,,,,,,,,,,
1941-12-04,,,,,,,,,,,,,,,46.759,,,,,,,,,,,,,
1941-12-05,,,,,,,,,,,,,,,38.093,,,,,,,,,,,,,
1941-12-06,,,,,,,,,,,,,,,32.153,,,,,,,,,,,,,
1941-12-07,,,,,,,,,,,,,,,28.015,,,,,,,,,,,,,
1941-12-08,,,,,,,,,,,,,,,38.093,,,,,,,,,,,,,
1941-12-09,,,,,,,,,,,,,,,162.204,,,,,,,,,,,,,
1941-12-10,,,,,,,,,,,,,,,78.544,,,,,,,,,,,,,
1941-12-11,,,,,,,,,,,,,,,52.007,,,,,,,,,,,,,
1941-12-12,,,,,,,,,,,,,,,59.419,,,,,,,,,,,,,
1941-12-13,,,,,,,,,,,,,,,121.674,,,,,,,,,,,,,
1941-12-14,,,,,,,,,,,,,,,113.716,,,,,,,,,,,,,
1941-12-15,,,,,,,,,,,,,,,70.726,,,,,,,,,,,,,
1941-12-16,,,,,,,,,,,,,,,51.411,,,,,,,,,,,,,
1941-12-17,,,,,,,,,,,,,,,41.78,,,,,,,,,,,,,
1941-12-18,,,,,,,,,,,,,,,44.513,,,,,,,,,,,,,
1941-12-19,,,,,,,,,,,,,,,38.093,,,,,,,,,,,,,
1941-12-20,,,,,,,,,,,,,,,36.059,,,,,,,,,,,,,
1941-12-21,,,,,,,,,,,,,,,30.28,,,,,,,,,,,,,
1941-12-22,,,,,,,,,,,,,,,26.697,,,,,,,,,,,,,
1941-12-23,,,,,,,,,,,,,,,22.523,,,,,,,,,,,,,
1941-12-24,,,,,,,,,,,,,,,20.387,,,,,,,,,,,,,
1941-12-25,,,,,,,,,,,,,,,18.73,,,,,,,,,,,,,
1941-12-26,,,,,,,,,,,,,,,16.455,,,,,,,,,,,,,
1941-12-27,,,,,,,,,,,,,,,15.178,,,,,,,,,,,,,
1941-12-28,,,,,,,,,,,,,,,14.547,,,,,,,,,,,,,
1941-12-29,,,,,,,,,,,,,,,13.608,,,,,,,,,,,,,
1941-12-30,,,,,,,,,,,,,,,12.989,,,,,,,,,,,,,
1941-12-31,,,,,,,,,,,,,,,12.681,,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,,,,11.463,,,,,,,,,,,,,
1942-01-02,,,,,,,,,,,,,,,10.862,,,,,,,,,,,,,
1942-01-03,,,,,,,,,,,,,,,10.267,,,,,,,,,,,,,
1942-01-04,,,,,,,,,,,,,,,9.678,,,,,,,,,,,,,
1942-01-05,,,,,,,,,,,,,,,9.095,,,,,,,,,,,,,
1942-01-06,,,,,,,,,,,,,,,8.806,,,,,,,,,,,,,
1942-01-07,,,,,,,,,,,,,,,8.233,,,,,,,,,,,,,
1942-01-08,,,,,,,,,,,,,,,7.949,,,,,,,,,,,,,
1942-01-09,,,,,,,,,,,,,,,7.386,,,,,,,,,,,,,
1942-01-10,,,,,,,,,,,,,,,7.108,,,,,,,,,,,,,
1942-01-11,,,,,,,,,,,,,,,7.108,,,,,,,,,,,,,
1942-01-12,,,,,,,,,,,,,,,6.831,,,,,,,,,,,,,
1942-01-13,,,,,,,,,,,,,,,6.284,,,,,,,,,,,,,
1942-01-14,,,,,,,,,,,,,,,7.108,,,,,,,,,,,,,
1942-01-15,,,,,,,,,,,,,,,8.519,,,,,,,,,,,,,
1942-01-16,,,,,,,,,,,,,,,15.178,,,,,,,,,,,,,
1942-01-17,,,,,,,,,,,,,,,17.424,,,,,,,,,,,,,
1942-01-18,,,,,,,,,,,,,,,20.053,,,,,,,,,,,,,
1942-01-19,,,,,,,,,,,,,,,16.455,,,,,,,,,,,,,
1942-01-20,,,,,,,,,,,,,,,18.402,,,,,,,,,,,,,
1942-01-21,,,,,,,,,,,,,,,23.33,,,,,,,,,,,,,
1942-01-22,,,,,,,,,,,,,,,20.387,,,,,,,,,,,,,
1942-01-23,,,,,,,,,,,,,,,16.455,,,,,,,,,,,,,
1942-01-24,,,,,,,,,,,,,,,12.375,,,,,,,,,,,,,
1942-01-25,,,,,,,,,,,,,,,9.972,,,,,,,,,,,,,
1942-01-26,,,,,,,,,,,,,,,9.095,,,,,,,,,,,,,
1942-01-27,,,,,,,,,,,,,,,8.233,,,,,,,,,,,,,
1942-01-28,,,,,,,,,,,,,,,8.519,,,,,,,,,,,,,
1942-01-29,,,,,,,,,,,,,,,8.519,,,,,,,,,,,,,
1942-01-30,,,,,,,,,,,,,,,8.233,,,,,,,,,,,,,
1942-01-31,,,,,,,,,,,,,,,8.519,,,,,,,,,,,,,
1942-02-01,,,,,,,,,,,,,,,7.386,,,,,,,,,,,,,
1942-02-02,,,,,,,,,,,,,,,9.386,,,,,,,,,,,,,
