,19086
2001-03-01,35
2001-03-02,40
2001-03-03,33
2001-03-04,33
2001-03-05,33
2001-03-06,33
2001-03-07,33
2001-03-08,33
2001-03-09,29
2001-03-10,44
2001-03-11,33
2001-03-12,33
2001-03-13,31
2001-03-14,33
2001-03-15,33
2001-03-16,31
2001-03-17,32
2001-03-18,33
2001-03-19,38
2001-03-20,41
2001-03-21,37
2001-03-22,31
2001-03-23,35
2001-03-24,34
2001-03-25,34
2001-03-26,33
2001-03-27,34
2001-03-28,34
2001-03-29,61
2001-03-30,60
2001-03-31,32
2001-04-01,31
2001-04-02,32
2001-04-03,30
2001-04-04,32
2001-04-05,32
2001-04-06,32
2001-04-07,31
2001-04-08,42
2001-04-09,35
2001-04-10,48
2001-04-11,53
2001-04-12,57
2001-04-13,57
2001-04-14,57
2001-04-15,57
2001-04-16,57
2001-04-17,56
2001-04-18,57
2001-04-19,57
2001-04-20,56
2001-04-21,56
2001-04-22,56
2001-04-23,56
2001-04-24,56
2001-04-25,56
2001-04-26,56
2001-04-27,58
2001-04-28,57
2001-04-29,68
2001-04-30,58
2001-05-01,57
2001-05-02,59
2001-05-03,61
2001-05-04,63
2001-05-05,65
2001-05-06,65
2001-05-07,62
2001-05-08,63
2001-05-09,65
2001-05-10,72
2001-05-11,68
2001-05-12,65
2001-05-13,65
2001-05-14,66
2001-05-15,65
2001-05-16,65
2001-05-17,67
2001-05-18,65
2001-05-19,68
2001-05-20,79
2001-05-21,67
2001-05-22,66
2001-05-23,75
2001-05-24,101
2001-05-25,80
2001-05-26,77
2001-05-27,75
2001-05-28,66
2001-05-29,65
2001-05-30,65
2001-05-31,66
2001-06-01,66
2001-06-02,66
2001-06-03,68
2001-06-04,68
2001-06-05,69
2001-06-06,72
2001-06-07,70
2001-06-08,70
2001-06-09,70
2001-06-10,70
2001-06-11,70
2001-06-12,70
2001-06-13,70
2001-06-14,70
2001-06-15,70
2001-06-16,70
2001-06-17,69
2001-06-18,73
2001-06-19,76
2001-06-20,76
2001-06-21,77
2001-06-22,76
2001-06-23,77
2001-06-24,75
2001-06-25,74
2001-06-26,74
2001-06-27,81
2001-06-28,74
2001-06-29,75
2001-06-30,72
2001-07-01,74
2001-07-02,75
2001-07-03,73
2001-07-04,73
2001-07-05,73
2001-07-06,73
2001-07-07,73
2001-07-08,73
2001-07-09,74
2001-07-10,75
2001-07-11,76
2001-07-12,79
2001-07-13,77
2001-07-14,77
2001-07-15,77
2001-07-16,77
2001-07-17,77
2001-07-18,77
2001-07-19,78
2001-07-20,76
2001-07-21,76
2001-07-22,76
2001-07-23,76
2001-07-24,76
2001-07-25,77
2001-07-26,77
2001-07-27,77
2001-07-28,77
2001-07-29,79
2001-07-30,80
2001-07-31,79
2001-08-01,79
2001-08-02,79
2001-08-03,78
2001-08-04,79
2001-08-05,78
2001-08-06,80
2001-08-07,81
2001-08-08,81
2001-08-09,82
2001-08-10,83
2001-08-11,83
2001-08-12,82
2001-08-13,78
2001-08-14,81
2001-08-15,81
2001-08-16,83
2001-08-17,82
2001-08-18,83
2001-08-19,83
2001-08-20,83
2001-08-21,83
2001-08-22,87
2001-08-23,83
2001-08-24,83
2001-08-25,83
2001-08-26,83
2001-08-27,83
2001-08-28,84
2001-08-29,82
2001-08-30,84
2001-08-31,83
2001-09-01,83
2001-09-02,83
2001-09-03,83
2001-09-04,83
2001-09-05,83
2001-09-06,84
2001-09-07,83
2001-09-08,80
2001-09-09,84
2001-09-10,84
2001-09-11,83
2001-09-12,84
2001-09-13,84
2001-09-14,84
2001-09-15,83
2001-09-16,83
2001-09-17,84
2001-09-18,84
2001-09-19,84
2001-09-20,84
2001-09-21,84
2001-09-22,84
2001-09-23,84
2001-09-24,85
2001-09-25,84
2001-09-26,84
2001-09-27,84
2001-09-28,84
2001-09-29,84
2001-09-30,84
2001-10-01,85
2001-10-02,84
2001-10-03,84
2001-10-04,84
2001-10-05,85
2001-10-06,83
2001-10-07,85
2001-10-08,85
2001-10-09,81
2001-10-10,70
2001-10-11,70
2001-10-12,67
2001-10-13,67
2001-10-14,67
2001-10-15,67
2001-10-16,66
2001-10-17,62
2001-10-18,62
2001-10-19,62
2001-10-20,61
2001-10-21,62
2001-10-22,61
2001-10-23,63
2001-10-24,64
2001-10-25,69
2001-10-26,81
2001-10-27,81
2001-10-28,80
2001-10-29,80
2001-10-30,80
2001-10-31,80
2001-11-01,81
2001-11-02,74
2001-11-03,66
2001-11-04,66
2001-11-05,65
2001-11-06,66
2001-11-07,70
2001-11-08,70
2001-11-09,62
2001-11-10,64
2001-11-11,70
2001-11-12,76
2001-11-13,76
2001-11-14,75
2001-11-15,80
2001-11-16,77
2001-11-17,79
2001-11-18,77
2001-11-19,65
2001-11-20,36
2001-11-21,25
2001-11-22,24
2001-11-23,35
2001-11-24,66
2001-11-25,66
2001-11-26,66
2001-11-27,65
2001-11-28,60
2001-11-29,56
