,76077000_FLU,76081000_FLU,76085000_FLU,76100000_FLU,76120000_FLU,76251000_FLU,76260000_FLU,76300000_FLU,76310000_FLU,76360001_FLU,76370000_FLU,76380000_FLU,76395000_FLU,76431000_FLU,76440000_FLU,76460000_FLU,76490000_FLU,76500000_FLU,76550000_FLU,76560000_FLU,76600000_FLU,76630000_FLU,76650000_FLU,76700000_FLU,76742000_FLU,76745000_FLU,76750000_FLU,76800000_FLU
1940-04-01,,,,,,,,,,,,45.6,,,,,,,,,,,,,,,,
1940-04-02,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,
1940-04-03,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,
1940-04-04,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,
1940-04-05,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,
1940-04-06,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,
1940-04-07,,,,,,,,,,,,8.86,,,,,,,,,,,,,,,,
1940-04-08,,,,,,,,,,,,6.19,,,,,,,,,,,,,,,,
1940-04-09,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,
1940-04-10,,,,,,,,,,,,2.83,,,,,,,,,,,,,,,,
1940-04-11,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,
1940-04-12,,,,,,,,,,,,39.9,,,,,,,,,,,,,,,,
1940-04-13,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,
1940-04-14,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,
1940-04-15,,,,,,,,,,,,22.6,,,,,,,,,,,,,,,,
1940-04-16,,,,,,,,,,,,22.6,,,,,,,,,,,,,,,,
1940-04-17,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,
1940-04-18,,,,,,,,,,,,8.86,,,,,,,,,,,,,,,,
1940-04-19,,,,,,,,,,,,5.72,,,,,,,,,,,,,,,,
1940-04-20,,,,,,,,,,,,4.18,,,,,,,,,,,,,,,,
1940-04-21,,,,,,,,,,,,3.63,,,,,,,,,,,,,,,,
1940-04-22,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,
1940-04-23,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,
1940-04-24,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,
1940-04-25,,,,,,,,,,,,46.3,,,,,,,,,,,,,,,,
1940-04-26,,,,,,,,,,,,8.54,,,,,,,,,,,,,,,,
1940-04-27,,,,,,,,,,,,50.7,,,,,,,,,,,,,,,,
1940-04-28,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,
1940-04-29,,,,,,,,,,,,60.6,,,,,,,,,,,,,,,,
1940-04-30,,,,,,,,,,,,55.9,,,,,,,,,,,,,,,,
1940-05-01,,,,,,,,,,,,57.3,,,,,,,,,,,,,,,,
1940-05-02,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,
1940-05-03,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,,
1940-05-04,,,,,,,,,,,,39.9,,,,,,,,,,,,,,,,
1940-05-05,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,,
1940-05-06,,,,,,,,,,,,35.6,,,,,,,,,,,,,,,,
1940-05-07,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,
1940-05-08,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,
1940-05-09,,,,,,,,,,,,9.49,,,,,,,,,,,,,,,,
1940-05-10,,,,,,,,,,,,8.54,,,,,,,,,,,,,,,,
1940-05-11,,,,,,,,,,,,5.49,,,,,,,,,,,,,,,,
1940-05-12,,,,,,,,,,,,5.26,,,,,,,,,,,,,,,,
1940-05-13,,,,,,,,,,,,72.8,,,,,,,,,,,,,,,,
1940-05-14,,,,,,,,,,,,34.3,,,,,,,,,,,,,,,,
1940-05-15,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,
1940-05-16,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,
1940-05-17,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,
1940-05-18,,,,,,,,,,,,33.1,,,,,,,,,,,,,,,,
1940-05-19,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,
1940-05-20,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,,
1940-05-21,,,,,,,,,,,,8.86,,,,,,,,,,,,,,,,
1940-05-22,,,,,,,,,,,,6.43,,,,,,,,,,,,,,,,
1940-05-23,,,,,,,,,,,,5.26,,,,,,,,,,,,,,,,
1940-05-24,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,
1940-05-25,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,
1940-05-26,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,
1940-05-27,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,
1940-05-28,,,,,,,,,,,,254.0,,,,,,,,,,,,,,,,
1940-05-29,,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,
1940-05-30,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,
1940-05-31,,,,,,,,,,,,186.0,,,,,,,,,,,,,,,,
1940-06-01,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,
1940-06-02,,,,,,,,,,,,127.0,,,,,,,,,,,,,,,,
1940-06-03,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,
1940-06-04,,,,,,,,,,,,80.7,,,,,,,,,,,,,,,,
1940-06-05,,,,,,,,,,,,59.9,,,,,,,,,,,,,,,,
1940-06-06,,,,,,,,,,,,39.9,,,,,,,,,,,,,,,,
1940-06-07,,,,,,,,,,,,31.9,,,,,,,,,,,,,,,,
1940-06-08,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,
1940-06-09,,,,,,,,,,,,24.8,,,,,,,,,,,,,,,,
1940-06-10,,,,,,,,,,,,43.1,,,,,,,,,,,,,,,,
1940-06-11,,,,,,,,,,,,33.1,,,,,,,,,,,,,,,,
1940-06-12,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,
1940-06-13,,,,,,,,,,,,32.5,,,,,,,,,,,,,,,,
1940-06-14,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,
1940-06-15,,,,,,,,,,,,181.0,,,,,,,,,,,,,,,,
1940-06-16,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,
1940-06-17,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,
1940-06-18,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,
1940-06-19,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,
1940-06-20,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,
1940-06-21,,,,,,,,,,,,95.9,,,,,,,,,,,,,,,,
1940-06-22,,,,,,,,,,,,95.9,,,,,,,,,,,,,,,,
1940-06-23,,,,,,,,,,,,90.1,,,,,,,,,,,,,,,,
1940-06-24,,,,,,,,,,,,74.2,,,,,,,,,,,,,,,,
1940-06-25,,,,,,,,,,,,53.3,,,,,,,,,,,,,,,,
1940-06-26,,,,,,,,,,,,41.2,,,,,,,,,,,,,,,,
1940-06-27,,,,,,,,,,,,34.3,,,,,,,,,,,,,,,,
1940-06-28,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,
1940-06-29,,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,
1940-06-30,,,,,,,,,,,,39.9,,,,,,,,,,,,,,,,
1940-07-01,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,
1940-07-02,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,
1940-07-03,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,
1940-07-04,,,,,,,,,,,,24.8,,,,,,,,,,,,,,,,
1940-07-05,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,
1940-07-06,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,
1940-07-07,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,
1940-07-08,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,
1940-07-09,,,,,,,,,,,,10.8,,,,,,,,,,,,,,,,
1940-07-10,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,
1940-07-11,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,
1940-07-12,,,,,,,,,,,,30.7,,,,,,,,,,,,,,,,
1940-07-13,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,
1940-07-14,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,
1940-07-15,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,
1940-07-16,,,,,,,,,,,,46.9,,,,,,,,,,,,,,,,
1940-07-17,,,,,,,,,,,,172.0,,,,,,,,,,,,,,,,
1940-07-18,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,
1940-07-19,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,,
1940-07-20,,,,,,,,,,,,197.0,,,,,,,,,,,,,,,,
1940-07-21,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,
1940-07-22,,,,,,,,,,,,92.5,,,,,,,,,,,,,,,,
1940-07-23,,,,,,,,,,,,69.3,,,,,,,,,,,,,,,,
1940-07-24,,,,,,,,,,,,64.6,,,,,,,,,,,,,,,,
1940-07-25,,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,
1940-07-26,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,
1940-07-27,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,
1940-07-28,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,
1940-07-29,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,
1940-07-30,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,
1940-07-31,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,
1940-08-01,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,
