,53540001_FLU,53620000_FLU,53630000_FLU,53650000_FLU,53732000_FLU,53780000_FLU,53880000_FLU,53950000_FLU
1969-05-23,28.334,29.195,24.657,27.9,,11.692,58.029,56.51
1969-05-24,27.675,27.83,24.657,27.317,,11.39,57.196,53.352
1969-05-25,27.025,27.83,23.76,26.739,,11.095,56.367,51.012
1969-05-26,27.025,27.83,23.321,25.599,,11.095,55.542,51.012
1969-05-27,26.384,26.503,23.321,24.479,,10.806,54.722,49.466
1969-05-28,25.753,26.503,22.465,24.479,,10.806,53.905,48.697
1969-05-29,25.753,26.503,22.465,24.479,,10.523,52.285,47.931
1969-05-30,25.753,26.503,22.047,24.479,,10.523,52.285,46.408
1969-05-31,24.52,26.503,22.047,23.926,,10.523,51.48,46.408
1969-06-01,24.52,25.854,21.636,24.479,,10.806,50.681,44.896
1969-06-02,24.52,25.854,21.231,24.479,,10.523,50.681,43.396
1969-06-03,24.52,25.214,21.231,24.479,,10.523,49.885,41.909
1969-06-04,24.52,25.214,21.231,23.926,,9.976,49.094,40.59
1969-06-05,24.52,25.214,21.231,23.926,,9.976,48.307,39.441
1969-06-06,23.918,25.214,21.231,23.379,,9.976,49.094,38.872
1969-06-07,23.324,25.214,20.833,22.837,,9.976,47.524,37.187
1969-06-08,23.324,24.583,20.441,21.77,,10.246,46.746,35.533
1969-06-09,23.324,24.583,20.441,21.77,,9.976,47.524,34.989
1969-06-10,22.74,23.962,20.056,21.77,,9.976,47.524,37.745
1969-06-11,22.74,23.962,19.677,22.301,,9.976,46.746,40.014
1969-06-12,22.165,23.349,19.304,22.301,,9.976,45.202,41.909
1969-06-13,22.165,22.746,18.921,22.301,,10.246,46.746,45.651
1969-06-14,22.165,22.746,18.921,21.77,,11.095,46.746,47.931
1969-06-15,22.165,22.746,19.304,21.77,,12.639,49.094,51.012
1969-06-16,22.165,22.746,19.304,21.77,,12.001,53.093,55.716
1969-06-17,22.165,22.746,19.677,21.77,,12.969,56.367,59.71
1969-06-18,22.165,23.349,20.056,22.301,,13.649,56.367,62.951
1969-06-19,22.165,23.962,20.056,23.379,,14.0,55.542,67.058
1969-06-20,22.74,23.962,20.056,23.926,,12.639,55.542,71.225
1969-06-21,23.324,23.962,19.677,24.479,,12.317,58.866,75.45
1969-06-22,23.918,23.349,20.441,24.479,,13.305,58.029,83.197
1969-06-23,24.52,24.583,21.636,27.9,,16.678,61.402,92.008
1969-06-24,27.025,25.854,22.89,29.081,,18.843,63.112,90.229
1969-06-25,27.025,27.83,24.657,29.68,,17.094,75.52,96.491
1969-06-26,28.334,29.892,26.059,32.745,,17.951,77.353,93.795
1969-06-27,27.675,30.598,24.657,34.644,,21.747,68.338,87.576
1969-06-28,27.025,29.195,24.205,34.006,,19.303,75.52,81.46
1969-06-29,25.753,28.508,23.76,33.373,,14.726,75.52,78.012
1969-06-30,24.52,27.83,23.321,32.122,,14.0,70.11,75.45
1969-07-01,24.52,27.83,22.89,31.504,,13.649,67.457,73.753
1969-07-02,24.52,25.214,21.636,31.504,,15.483,66.58,72.065
1969-07-03,24.52,24.583,22.047,30.283,,17.094,67.457,72.065
1969-07-04,23.324,24.583,22.047,30.283,,19.772,72.798,69.551
1969-07-05,23.324,23.962,20.833,29.68,,22.794,72.798,68.717
1969-07-06,23.324,23.962,20.441,29.081,,20.251,74.609,68.717
1969-07-07,22.74,23.349,20.056,27.9,,17.518,75.52,67.886
1969-07-08,22.74,23.349,20.056,27.317,,16.272,71.898,67.886
1969-07-09,22.74,23.349,19.677,27.317,,14.726,68.338,67.058
1969-07-10,22.74,22.746,19.304,26.739,,13.649,64.838,66.231
1969-07-11,22.165,22.746,19.304,26.739,,12.639,60.553,65.408
1969-07-12,22.165,22.746,19.304,26.739,,12.639,58.029,62.137
1969-07-13,22.165,22.746,19.304,26.739,,12.001,56.367,58.105
1969-07-14,22.165,22.746,19.304,25.599,,12.001,55.542,55.716
1969-07-15,21.6,22.153,18.543,25.599,,12.001,53.093,54.138
1969-07-16,21.6,21.568,18.543,25.036,,11.39,51.48,52.569
1969-07-17,21.043,20.992,18.543,24.479,,11.095,50.681,51.012
1969-07-18,21.043,20.992,17.069,24.479,,11.095,49.094,48.697
1969-07-19,20.495,20.426,17.069,23.926,,10.806,46.746,45.651
1969-07-20,20.495,20.426,16.71,23.379,,10.806,46.746,43.396
1969-07-21,20.495,19.868,16.356,23.379,,10.806,45.972,41.169
1969-07-22,19.957,19.868,16.005,22.837,,10.806,45.202,40.014
1969-07-23,19.957,19.868,16.005,22.837,,10.806,44.437,35.533
1969-07-24,19.957,19.319,16.005,22.837,,10.523,44.437,33.379
